1237140D UW Equity,Dawson Geophysical Co/old
1284849D UN Equity,Allergan Inc/United States
1288453D UW Equity,Monster Beverage 1990 Corp
1321686D UW Equity,Wright Medical Group Inc
1396924D UW Equity,Liberty Media Corp
1396926D UW Equity,Liberty Media Corp
1436513D UN Equity,Johnson Controls Inc
1437361D UW Equity,TiVo Solutions Inc
1448021D UN Equity,Parkway Properties Inc/Md
1448062D UW Equity,DIRECTV
1448479D UN Equity,Campus Crest Communities Inc
1455797D UN Equity,TAL International Group Inc
1469138D UN Equity,Envision Healthcare Holdings Inc
1477069D UW Equity,Rosetta Resources Inc
1477687D UW Equity,Merge Healthcare Inc
1484752D UN Equity,Basic Energy Services Inc
1486715D US Equity,Battalion Oil Corp
1498499D UN Equity,HCC Insurance Holdings Inc
1500785D UN Equity,TECO Energy Inc
1508335D UN Equity,Life Time Inc
1518855D US Equity,Yahoo! Inc - Set up for Fundamental Purp
1523873D UN Equity,BBX Capital Corp /Old
1537336D UN Equity,Trulia LLC
1539941D UN Equity,Spectra Energy Corp
1541931D UW Equity,Altera Corp
1553838D UR Equity,Entropic Communications Inc
1553838D UW Equity,Entropic Communications Inc
1556442D UA Equity,GigPeak Inc
1558151D UN Equity,Wausau Paper Corp
1566019D UN Equity,ADT Security Corp/The
1580477D UN Equity,Higher One Holdings Inc
1611364D UW Equity,Digital River Inc
1618448D UQ Equity,Alliance HealthCare Services Inc
1624250D UW Equity,Bazaarvoice Inc
1624831D UN Equity,TIAA FSB Holdings Inc
1627457D UN Equity,Pep Boys-Manny Moe & Jack/The
1627503D UN Equity,Colony Capital Inc/Old
1655912D UN Equity,SolarWinds North America Inc
1667208D UN Equity,Calgon Carbon Corp
1676829D UW Equity,Thoratec LLC
1684442D UN Equity,Pall Corp
1697067D UN Equity,Dow Chemical Co/The
1702253D UN Equity,Towers Watson & Co
1702253D UW Equity,Towers Watson & Co
1715651D UN Equity,EI du Pont de Nemours and Co
1719848D UN Equity,Education Realty Trust Inc
1731877D UN Equity,Valspar Corp/The
1745597D UW Equity,Tesla Energy Operations Inc/DE
1752326D US Equity,Spectrum Brands Holdings Inc
1752683D UW Equity,First Connecticut Bancorp Inc/Farmington
1766050D UR Equity,Paragon Commercial Corp
1778214D UW Equity,HomeAway Inc
1806466D UR Equity,Repros Therapeutics Inc
1806854D UN Equity,Dun & Bradstreet Corp/The
1812209D US Equity,Match Group Inc/old
1812212D US Equity,Match Group Inc
1872828D UW Equity,Assertio Therapeutics Inc
9745633D UN Equity,TCF Financial Corp/DE
9749933D UN Equity,Gannett Media Corp
9876444D UN Equity,Knight Transportation Inc
9876450D UN Equity,Bonanza Creek Energy Inc
